timestamp,type,id,sample_time,temperature,hum,pressure,tvoc,eco2,rawh2,rawethanol,pt1_pm10_standard,pt1_pm25_standard,pt1_pm100_standard,pt1_particles_03um,pt1_particles_05um,pt1_particles_10um,pt1_particles_25um,pt1_particles_50um,pt1_particles_100um,pt2_pm10_standard,pt2_pm25_standard,pt2_pm100_standard,pt2_particles_03um,pt2_particles_05um,pt2_particles_10um,pt2_particles_25um,pt2_particles_50um,pt2_particles_100um
2025-03-25 13:46:45,2,817,3991194,29.7,37.13,399,13,400,12505,1337,22,33,35,3843,1112,216,15,2,1,16,26,26,3018,853,148,18,0,0
2025-03-25 13:46:55,2,817,4001271,29.66,37.05,399,2,400,12551,1367,22,34,36,3837,1114,239,18,3,2,17,30,30,3246,917,187,24,0,0
2025-03-25 13:47:05,2,817,4011337,29.65,36.78,399,3,400,12560,1381,21,34,35,3759,1080,222,21,2,1,15,25,25,3030,829,153,14,0,0
2025-03-25 13:47:15,2,817,4021404,29.65,37.44,399,40,501,12392,1390,21,34,37,3843,1101,222,21,4,1,15,23,25,3084,825,144,12,2,2
2025-03-25 13:47:25,2,817,4031431,29.63,37.64,399,3,400,12544,1505,20,31,33,3669,1088,218,10,3,1,16,21,24,2910,796,145,10,2,2
2025-03-25 13:47:35,2,817,4041502,29.63,37.35,399,9,400,12545,1515,22,34,35,3915,1136,225,12,0,0,15,21,24,2805,785,145,6,2,2
2025-03-25 13:47:46,2,817,4051581,29.59,37.32,399,7,400,12525,1512,20,30,30,3600,1037,193,6,0,0,16,22,25,2988,835,143,14,2,2
2025-03-25 13:47:56,2,817,4061635,29.63,37.7,399,7,400,12484,1515,19,26,26,3312,955,177,5,0,0,16,28,30,2988,831,174,30,2,2
2025-03-25 13:48:06,2,817,4071683,29.62,37.79,399,18,456,12445,1523,17,25,26,3090,887,170,9,2,1,15,26,26,2943,813,146,20,0,0
2025-03-25 13:48:16,2,817,4081755,29.6,37.99,399,5,400,12528,1558,17,28,30,3315,931,183,10,3,2,16,29,36,3276,924,186,36,8,2
