timestamp,_is_fixed_data,_original_error,_recovery_method,id,particles_03um,particles_05um,particles_100um,particles_10um,particles_25um,particles_50um,pm100_standard,pm10_standard,pm25_standard,sample_time,type,pt1_particles_03um,pt1_particles_05um,pt1_particles_100um,pt1_particles_10um,pt1_particles_25um,pt1_particles_50um,pt1_pm100_standard,pt1_pm10_standard,pt1_pm25_standard
2025-03-25 17:49:25.515,True,"Expecting ',' delimiter: line 1 column 255 (char 254)",added_closing_braces,817.0,,,,,,,,,,1277954.0,2.0,4077.0,1149.0,1.0,202.0,15.0,1.0,35.0,21.0,33.0
2025-03-25 17:49:25.515,,,,,7710.0,1287.0,0.0,175.0,36.0,10.0,41.0,23.0,35.0,,,,,,,,,,,
2025-03-25 17:49:35.580,True,"Expecting ',' delimiter: line 1 column 255 (char 254)",added_closing_braces,817.0,,,,,,,,,,1288036.0,2.0,3789.0,1079.0,1.0,173.0,13.0,3.0,32.0,20.0,30.0
2025-03-25 17:49:35.581,,,,,9663.0,1607.0,4.0,186.0,36.0,10.0,49.0,29.0,41.0,,,,,,,,,,,
2025-03-25 17:49:45.602,True,"Expecting ',' delimiter: line 1 column 255 (char 254)",added_closing_braces,817.0,,,,,,,,,,1298074.0,2.0,3759.0,1093.0,1.0,200.0,16.0,4.0,35.0,20.0,32.0
2025-03-25 17:49:45.603,,,,,7659.0,1246.0,2.0,164.0,32.0,6.0,38.0,24.0,34.0,,,,,,,,,,,
2025-03-25 17:52:06.325,True,"Expecting ',' delimiter: line 1 column 255 (char 254)",added_closing_braces,817.0,,,,,,,,,,1438926.0,2.0,4023.0,1166.0,0.0,218.0,10.0,4.0,35.0,23.0,33.0
2025-03-25 17:52:06.325,,,,,9654.0,1494.0,2.0,117.0,6.0,2.0,35.0,28.0,34.0,,,,,,,,,,,
2025-03-25 17:52:16.308,True,"Expecting ',' delimiter: line 1 column 254 (char 253)",added_closing_braces,817.0,,,,,,,,,,1449003.0,2.0,4074.0,1152.0,0.0,198.0,8.0,1.0,33.0,23.0,32.0
2025-03-25 17:52:16.308,,,,,6705.0,1167.0,4.0,146.0,4.0,4.0,32.0,23.0,29.0,,,,,,,,,,,
2025-03-25 17:52:26.388,True,"Expecting ',' delimiter: line 1 column 255 (char 254)",added_closing_braces,817.0,,,,,,,,,,1459085.0,2.0,4068.0,1179.0,1.0,242.0,14.0,1.0,37.0,23.0,36.0
2025-03-25 17:52:26.388,,,,,5883.0,1105.0,2.0,158.0,4.0,2.0,30.0,22.0,29.0,,,,,,,,,,,
2025-03-25 17:52:36.375,True,"Expecting ',' delimiter: line 1 column 255 (char 254)",added_closing_braces,817.0,,,,,,,,,,1469110.0,2.0,4188.0,1222.0,1.0,226.0,15.0,4.0,38.0,24.0,35.0
2025-03-25 17:52:36.375,,,,,4791.0,1009.0,4.0,126.0,16.0,6.0,30.0,19.0,26.0,,,,,,,,,,,
2025-03-25 17:52:46.452,True,"Expecting ',' delimiter: line 1 column 255 (char 254)",added_closing_braces,817.0,,,,,,,,,,1479193.0,2.0,3999.0,1146.0,1.0,199.0,14.0,4.0,35.0,23.0,32.0
2025-03-25 17:52:46.480,,,,,3765.0,958.0,2.0,152.0,20.0,6.0,31.0,18.0,27.0,,,,,,,,,,,
2025-03-25 17:52:56.497,True,"Expecting ',' delimiter: line 1 column 254 (char 253)",added_closing_braces,817.0,,,,,,,,,,1489235.0,2.0,3777.0,1052.0,0.0,187.0,7.0,1.0,31.0,21.0,30.0
2025-03-25 17:52:56.497,,,,,3486.0,945.0,0.0,161.0,20.0,8.0,32.0,18.0,27.0,,,,,,,,,,,
2025-03-25 17:53:06.518,True,"Expecting ',' delimiter: line 1 column 255 (char 254)",added_closing_braces,817.0,,,,,,,,,,1499260.0,2.0,3834.0,1093.0,1.0,223.0,15.0,3.0,35.0,22.0,32.0
2025-03-25 17:53:06.518,,,,,3750.0,970.0,0.0,155.0,18.0,8.0,31.0,17.0,26.0,,,,,,,,,,,
2025-03-25 17:53:16.546,True,"Expecting ',' delimiter: line 1 column 255 (char 254)",added_closing_braces,817.0,,,,,,,,,,1509342.0,2.0,3924.0,1122.0,1.0,218.0,14.0,4.0,35.0,23.0,32.0
2025-03-25 17:53:16.546,,,,,3849.0,977.0,2.0,133.0,16.0,10.0,32.0,19.0,26.0,,,,,,,,,,,
2025-03-25 17:53:26.622,True,"Expecting ',' delimiter: line 1 column 255 (char 254)",added_closing_braces,817.0,,,,,,,,,,1519424.0,2.0,4176.0,1186.0,2.0,226.0,19.0,6.0,38.0,23.0,34.0
2025-03-25 17:53:26.622,,,,,3852.0,998.0,4.0,148.0,16.0,10.0,33.0,20.0,27.0,,,,,,,,,,,
2025-03-25 17:53:36.660,True,"Expecting ',' delimiter: line 1 column 255 (char 254)",added_closing_braces,817.0,,,,,,,,,,1529478.0,2.0,3840.0,1088.0,1.0,213.0,14.0,4.0,34.0,21.0,31.0
2025-03-25 17:53:36.660,,,,,3798.0,1006.0,4.0,159.0,14.0,10.0,33.0,19.0,26.0,,,,,,,,,,,
